source_name,target_name,source_iso3,target_iso3,year,estimated_trips,dist,source_region,target_region,source_subregion,target_subregion
FRA,AUT,ITA,FRA,2024,6082,1343.0684097047422,Western Europe,Eastern Europe,East,North
BEL,AUT,BEL,NLD,2022,9727,723.9513027097611,Northern Europe,Southern Europe,South,West
AUT,POL,CHE,BEL,2022,8515,1919.656906421611,Northern Europe,Northern Europe,North,East
ESP,ITA,ITA,BEL,2022,8511,2778.628028893993,Northern Europe,Eastern Europe,South,West
AUT,CHE,NLD,BEL,2024,9946,2992.8025804007575,Eastern Europe,Northern Europe,South,East
CHE,FRA,ESP,FRA,2023,8556,194.10812269295957,Northern Europe,Northern Europe,West,South
DEU,AUT,ESP,ITA,2023,9245,783.2058619095648,Northern Europe,Northern Europe,North,North
BEL,FRA,ESP,BEL,2023,4624,999.8906357959227,Western Europe,Southern Europe,East,East
CHE,ESP,CHE,CHE,2024,6659,1257.4656912904018,Southern Europe,Southern Europe,West,South
NLD,AUT,BEL,DEU,2022,7720,802.5457569958255,Eastern Europe,Southern Europe,South,East
ESP,ITA,ITA,DEU,2023,2874,690.1151842104064,Southern Europe,Southern Europe,North,North
BEL,AUT,BEL,BEL,2022,3224,2763.712648034502,Southern Europe,Western Europe,East,West
BEL,DEU,NLD,POL,2023,8771,236.27825290904067,Northern Europe,Western Europe,South,North
DEU,CHE,BEL,ESP,2022,1453,1082.5577626540598,Northern Europe,Western Europe,East,West
POL,ITA,CHE,ITA,2023,9181,1274.9308056673792,Eastern Europe,Eastern Europe,East,South
BEL,FRA,AUT,CHE,2023,3954,793.1421505312358,Eastern Europe,Western Europe,North,South
ESP,NLD,BEL,NLD,2022,1024,1957.104165268299,Western Europe,Eastern Europe,North,West
ESP,CHE,ESP,POL,2024,2270,2566.4622621529315,Eastern Europe,Eastern Europe,West,West
ITA,AUT,POL,FRA,2022,5606,2248.5208783171315,Western Europe,Western Europe,West,North
ITA,AUT,ESP,ITA,2023,2495,1673.4626482012713,Northern Europe,Northern Europe,West,West
ITA,AUT,DEU,AUT,2022,8320,1995.4016331288176,Southern Europe,Western Europe,East,West
ESP,CHE,AUT,AUT,2024,8326,894.5674664747525,Northern Europe,Western Europe,North,North
AUT,DEU,AUT,BEL,2022,5615,1819.8629509053371,Northern Europe,Southern Europe,East,North
POL,BEL,ITA,FRA,2024,3465,486.6989552174741,Eastern Europe,Northern Europe,North,East
DEU,POL,CHE,BEL,2022,688,803.3784020906152,Eastern Europe,Southern Europe,West,North
CHE,FRA,NLD,ESP,2023,3238,945.9110070925994,Eastern Europe,Northern Europe,East,North
AUT,DEU,AUT,ITA,2024,9195,2780.497744452418,Southern Europe,Northern Europe,East,West
CHE,AUT,ESP,DEU,2024,4186,938.8073181770377,Western Europe,Western Europe,North,North
DEU,ITA,CHE,NLD,2023,8631,1171.1269772593537,Northern Europe,Eastern Europe,West,West
POL,FRA,CHE,FRA,2022,4370,2024.8539420136224,Southern Europe,Eastern Europe,West,North
POL,AUT,FRA,FRA,2022,6119,442.89133816920753,Southern Europe,Southern Europe,South,East
AUT,ITA,ITA,CHE,2023,8122,2610.156538274817,Southern Europe,Western Europe,East,North
ITA,AUT,ITA,CHE,2024,5552,1773.9266117259556,Southern Europe,Northern Europe,South,North
AUT,ESP,DEU,ESP,2022,3667,2054.7098155323747,Western Europe,Eastern Europe,South,South
POL,DEU,ITA,DEU,2024,3999,148.31536660822638,Northern Europe,Northern Europe,South,South
ESP,NLD,BEL,AUT,2024,6577,1082.9398485105012,Southern Europe,Eastern Europe,North,West
DEU,POL,CHE,DEU,2023,7600,2407.4146689181816,Northern Europe,Northern Europe,West,West
FRA,CHE,BEL,ESP,2022,1116,324.7006239979191,Eastern Europe,Eastern Europe,South,North
DEU,POL,NLD,CHE,2024,6570,918.7101192110886,Southern Europe,Southern Europe,North,North
NLD,POL,ESP,FRA,2022,2162,1797.3608021695027,Southern Europe,Northern Europe,North,South
NLD,AUT,ITA,BEL,2022,9130,843.5977803269312,Northern Europe,Eastern Europe,South,South
AUT,ESP,ESP,BEL,2023,9929,2808.536125019106,Southern Europe,Eastern Europe,South,North
POL,NLD,AUT,POL,2022,4421,480.07002933244206,Southern Europe,Southern Europe,East,East
POL,DEU,DEU,NLD,2022,3596,2412.443637932558,Southern Europe,Southern Europe,South,East
ITA,DEU,AUT,ESP,2024,1913,1573.0512065285839,Western Europe,Southern Europe,East,West
ITA,CHE,FRA,NLD,2022,9743,1001.0744521031976,Southern Europe,Northern Europe,South,North
ESP,FRA,ESP,CHE,2024,2413,1592.0198467049124,Western Europe,Southern Europe,West,West
CHE,ESP,DEU,CHE,2023,9806,2584.822514197211,Eastern Europe,Western Europe,South,South
BEL,FRA,POL,FRA,2023,1331,1453.9464874570028,Southern Europe,Western Europe,South,South
CHE,NLD,BEL,AUT,2024,9937,1143.1875995397818,Eastern Europe,Eastern Europe,East,East
DEU,POL,DEU,CHE,2024,5931,1654.8506201329346,Northern Europe,Western Europe,East,North
CHE,DEU,DEU,BEL,2024,3099,2180.351983805464,Eastern Europe,Eastern Europe,West,South
ESP,NLD,BEL,NLD,2024,3540,1386.333701945658,Northern Europe,Northern Europe,South,East
DEU,POL,ESP,POL,2024,4156,2822.7432279125915,Southern Europe,Northern Europe,South,East
CHE,DEU,ESP,ITA,2022,405,955.3428897227919,Northern Europe,Western Europe,East,East
ESP,POL,BEL,ESP,2022,1789,1478.8444578904491,Northern Europe,Northern Europe,North,South
BEL,CHE,AUT,POL,2023,9809,2295.09021209018,Eastern Europe,Southern Europe,North,South
CHE,ESP,POL,BEL,2022,4017,2098.4511624376987,Eastern Europe,Southern Europe,North,North
ESP,NLD,NLD,CHE,2022,7180,2604.559052009753,Eastern Europe,Western Europe,East,North
ITA,NLD,POL,AUT,2022,8711,2990.7466239752157,Southern Europe,Western Europe,East,East
POL,BEL,ESP,FRA,2024,3036,1337.8891535057596,Southern Europe,Eastern Europe,North,East
ITA,AUT,FRA,ITA,2023,3962,422.3375513716043,Eastern Europe,Northern Europe,North,South
POL,CHE,ITA,DEU,2023,9742,188.20605434310713,Southern Europe,Eastern Europe,South,South
FRA,CHE,DEU,POL,2023,5749,2207.943027805338,Southern Europe,Eastern Europe,East,North
FRA,POL,BEL,DEU,2022,9456,740.0664992388141,Northern Europe,Southern Europe,North,West
BEL,AUT,DEU,ITA,2022,1919,559.4993078507273,Eastern Europe,Southern Europe,North,North
ITA,ESP,ITA,ESP,2024,1442,280.3947654245038,Southern Europe,Southern Europe,West,South
POL,ESP,NLD,ESP,2023,5660,2485.8384729798986,Northern Europe,Eastern Europe,East,East
ESP,CHE,ITA,NLD,2022,2326,1003.0076256884946,Western Europe,Southern Europe,West,West
DEU,ESP,ITA,ITA,2022,1179,1264.920989003352,Southern Europe,Northern Europe,South,North
ESP,BEL,ITA,ITA,2024,4306,1557.9755556678758,Western Europe,Southern Europe,West,North
DEU,NLD,NLD,DEU,2024,6380,2534.414379207697,Eastern Europe,Southern Europe,North,South
NLD,ITA,NLD,AUT,2024,7335,1987.4163425283064,Southern Europe,Southern Europe,East,West
ESP,FRA,ESP,DEU,2022,913,1883.6874265876527,Eastern Europe,Western Europe,East,North
CHE,POL,DEU,FRA,2022,5189,609.449089872141,Eastern Europe,Northern Europe,West,East
CHE,POL,NLD,ESP,2024,2131,1588.2506859585062,Eastern Europe,Northern Europe,West,South
AUT,DEU,NLD,ESP,2023,8614,2174.6049498181,Eastern Europe,Eastern Europe,South,West
DEU,CHE,BEL,FRA,2024,9833,684.0782967187215,Southern Europe,Southern Europe,North,North
DEU,BEL,ESP,ESP,2024,6011,127.67572389495727,Western Europe,Western Europe,North,West
ITA,NLD,AUT,DEU,2024,2753,318.37415743556227,Southern Europe,Eastern Europe,North,South
BEL,NLD,AUT,FRA,2022,3440,1189.9721490277398,Southern Europe,Eastern Europe,West,West
AUT,BEL,FRA,DEU,2023,7976,2479.5794784633626,Southern Europe,Southern Europe,West,West
BEL,AUT,ITA,ESP,2024,1241,120.71203712791063,Northern Europe,Southern Europe,East,South
BEL,DEU,DEU,ESP,2023,9141,1424.518719368937,Northern Europe,Eastern Europe,North,North
BEL,POL,CHE,AUT,2023,8658,1054.7687844900443,Southern Europe,Eastern Europe,West,East
BEL,ESP,ESP,POL,2024,9381,1405.6852313505901,Southern Europe,Western Europe,North,East
CHE,DEU,BEL,NLD,2022,4141,838.7712512764846,Eastern Europe,Northern Europe,South,North
FRA,ITA,POL,DEU,2024,2138,1120.4660196063187,Northern Europe,Eastern Europe,South,West
NLD,FRA,BEL,DEU,2023,4370,2146.2843838744498,Northern Europe,Northern Europe,West,East
DEU,FRA,POL,BEL,2023,4783,1612.4978533418046,Southern Europe,Northern Europe,East,North
NLD,CHE,CHE,CHE,2024,7216,2888.1021672285533,Western Europe,Southern Europe,East,West
ESP,ITA,ESP,ESP,2022,3610,2321.0184344213417,Eastern Europe,Southern Europe,South,North
ITA,BEL,NLD,NLD,2023,3886,329.7181350242754,Southern Europe,Eastern Europe,East,North
DEU,CHE,CHE,CHE,2022,5366,236.4693004340548,Southern Europe,Eastern Europe,South,East
DEU,POL,BEL,ITA,2022,9290,156.3993460674354,Southern Europe,Eastern Europe,West,North
NLD,POL,AUT,NLD,2024,5528,647.5026805429889,Northern Europe,Western Europe,North,North
BEL,ESP,ITA,ITA,2023,6781,1301.7843533836358,Eastern Europe,Southern Europe,North,East
ITA,NLD,AUT,ITA,2024,6993,2813.8957868681864,Western Europe,Western Europe,West,South
POL,FRA,CHE,ITA,2023,9743,1425.4730118707512,Northern Europe,Eastern Europe,South,East
NLD,POL,BEL,AUT,2024,4758,941.7398055803353,Northern Europe,Northern Europe,South,East
DEU,ITA,BEL,AUT,2024,6969,424.6102765908888,Northern Europe,Southern Europe,South,East
NLD,POL,POL,CHE,2022,7707,1867.5670839144514,Eastern Europe,Eastern Europe,West,North
DEU,POL,CHE,NLD,2023,6319,2396.779796876558,Western Europe,Northern Europe,East,North
ESP,FRA,ESP,ESP,2022,4634,2961.39407368937,Western Europe,Western Europe,East,South
NLD,POL,FRA,AUT,2024,6079,827.5330679767205,Northern Europe,Southern Europe,North,North
AUT,CHE,POL,ESP,2023,8990,1578.0037073309059,Northern Europe,Western Europe,West,South
DEU,POL,NLD,FRA,2023,1412,2735.7096783251104,Eastern Europe,Northern Europe,East,North
ITA,NLD,ESP,ESP,2024,3062,2377.05066482624,Northern Europe,Northern Europe,North,East
POL,CHE,DEU,POL,2024,3297,2841.577783882856,Western Europe,Northern Europe,East,North
ITA,CHE,BEL,AUT,2024,7304,2799.8959971664935,Southern Europe,Northern Europe,South,South
CHE,NLD,FRA,POL,2023,5830,246.471437910139,Western Europe,Eastern Europe,West,West
CHE,FRA,CHE,ESP,2022,226,1687.1837579325845,Western Europe,Western Europe,South,North
FRA,BEL,ESP,ITA,2022,5702,2682.278749203149,Eastern Europe,Eastern Europe,West,East
BEL,NLD,CHE,NLD,2024,1291,861.8907363277782,Eastern Europe,Eastern Europe,North,North
AUT,NLD,AUT,DEU,2023,2739,1469.5206469409598,Western Europe,Western Europe,North,North
FRA,DEU,NLD,ITA,2024,1466,1040.5537494972032,Northern Europe,Northern Europe,East,West
DEU,CHE,POL,CHE,2023,6553,2488.5722247839635,Western Europe,Northern Europe,East,East
CHE,ITA,NLD,ESP,2023,6771,2156.104382846501,Northern Europe,Western Europe,East,South
DEU,ITA,NLD,FRA,2023,6783,1804.1182611838153,Western Europe,Southern Europe,North,West
POL,CHE,FRA,CHE,2022,4639,2479.7161890400293,Southern Europe,Northern Europe,East,East
BEL,CHE,NLD,CHE,2023,8976,1237.5744204182865,Southern Europe,Northern Europe,South,South
AUT,FRA,ITA,ESP,2023,2987,1397.9003798075794,Eastern Europe,Southern Europe,East,West
AUT,CHE,AUT,ITA,2024,9754,2217.004991134498,Eastern Europe,Southern Europe,West,West
ITA,DEU,NLD,FRA,2024,4186,1137.4888135517713,Eastern Europe,Western Europe,South,South
FRA,BEL,CHE,POL,2022,2361,285.3127319402841,Eastern Europe,Northern Europe,North,South
POL,CHE,DEU,DEU,2024,4280,315.57036576960724,Southern Europe,Northern Europe,West,East
CHE,ITA,ITA,AUT,2023,2941,434.5521237865412,Northern Europe,Western Europe,South,North
AUT,CHE,ITA,NLD,2024,6140,2622.075837696622,Northern Europe,Northern Europe,West,North
POL,DEU,POL,CHE,2022,3660,1469.4566346929926,Northern Europe,Eastern Europe,South,North
ESP,POL,NLD,ESP,2024,4858,2167.358871099736,Western Europe,Eastern Europe,West,North
ESP,POL,POL,AUT,2024,726,1239.4370732541904,Eastern Europe,Eastern Europe,West,North
DEU,NLD,POL,NLD,2022,5114,850.26174750534,Eastern Europe,Northern Europe,South,East
CHE,ESP,DEU,NLD,2022,1475,1106.8572859304145,Southern Europe,Eastern Europe,North,West
ITA,BEL,FRA,POL,2023,1281,2403.128801419832,Southern Europe,Eastern Europe,North,East
FRA,NLD,ESP,POL,2023,590,2819.1553618779158,Western Europe,Western Europe,West,East
FRA,POL,POL,BEL,2024,3829,2071.1438578728184,Northern Europe,Southern Europe,North,West
AUT,ITA,AUT,BEL,2024,6074,1753.5267320886123,Southern Europe,Southern Europe,North,East
BEL,AUT,BEL,NLD,2023,3634,1869.56842605892,Eastern Europe,Southern Europe,East,East
ITA,NLD,AUT,POL,2024,3396,2832.8771744584024,Northern Europe,Southern Europe,North,West
POL,AUT,DEU,CHE,2024,2040,2385.7826966134476,Eastern Europe,Western Europe,West,East
BEL,FRA,DEU,AUT,2024,5114,169.71958836266967,Northern Europe,Western Europe,South,North
BEL,ESP,CHE,AUT,2022,1982,1649.005118793522,Eastern Europe,Western Europe,North,South
DEU,FRA,FRA,BEL,2023,5008,2096.181393485038,Western Europe,Eastern Europe,East,East
ESP,AUT,POL,NLD,2022,3087,2271.2255874735497,Northern Europe,Eastern Europe,East,South
BEL,FRA,AUT,ESP,2023,5685,718.1121460104164,Eastern Europe,Southern Europe,East,East
BEL,DEU,BEL,ITA,2023,3259,2614.8143279089213,Eastern Europe,Eastern Europe,South,East
NLD,POL,DEU,ITA,2024,4630,2871.9451268079747,Southern Europe,Northern Europe,North,North
NLD,FRA,BEL,BEL,2022,1173,381.2384112966766,Southern Europe,Southern Europe,South,West
